northing,easting,District,Coordinate,Row 
817398.143,831979.108,TUEN MUN,146,146
817406.589,831870.307,TUEN MUN,147,147
817409.606,831853.868,TUEN MUN,148,148
817415.822,831827.111,TUEN MUN,149,149
817418.927,831822.178,TUEN MUN,150,150
817422.887,831818.354,TUEN MUN,151,151
817434.893,831810.558,TUEN MUN,152,152
817447.562,831806.596,TUEN MUN,153,153
817508.79,831795.77,TUEN MUN,154,154
817582.971,831770.926,TUEN MUN,155,155
817606.551,831755.055,TUEN MUN,156,156
817627.34,831732.681,TUEN MUN,157,157
817635.848,831720.625,TUEN MUN,158,158
817650.925,831697.661,TUEN MUN,159,159
817672.302,831657.044,TUEN MUN,160,160
817673.857,831645.059,TUEN MUN,161,161
817681.345,831624.927,TUEN MUN,162,162
817697.117,831601.587,TUEN MUN,163,163
817697.761,831582.223,TUEN MUN,164,164
817703.526,831563.113,TUEN MUN,165,165
817725.486,831531.566,TUEN MUN,166,166
817746.54,831521.978,TUEN MUN,167,167
817757.941,831500.471,TUEN MUN,168,168
817784.944,831457.028,TUEN MUN,169,169
817796.04,831456.728,TUEN MUN,170,170
817808.858,831458.559,TUEN MUN,171,171
817820,831464.648,TUEN MUN,172,172
817838.138,831467.563,TUEN MUN,173,173
817851.159,831465.361,TUEN MUN,174,174
817870.851,831457.587,TUEN MUN,175,175
817879.468,831456.68,TUEN MUN,176,176
817891.258,831459.531,TUEN MUN,177,177
817898.123,831465.426,TUEN MUN,178,178
817907.582,831469.571,TUEN MUN,179,179
817919.631,831472.226,TUEN MUN,180,180
817927.275,831476.049,TUEN MUN,181,181
817939.194,831488.422,TUEN MUN,182,182
817947.033,831487.903,TUEN MUN,183,183
817966.726,831474.948,TUEN MUN,184,184
817971.973,831467.758,TUEN MUN,185,185
817980.33,831463.871,TUEN MUN,186,186
817989.787,831456.162,TUEN MUN,187,187
818005.723,831447.093,TUEN MUN,188,188
818054.826,831436.858,TUEN MUN,189,189
818064.414,831428.566,TUEN MUN,190,190
818138.198,831419.432,TUEN MUN,191,191
818169.94,831411.011,TUEN MUN,192,192
818181.082,831409.456,TUEN MUN,193,193
818248.647,831410.752,TUEN MUN,194,194
818277.516,831401.985,TUEN MUN,195,195
818754.963,831405.807,TUEN MUN,196,196
818771.812,830615.125,TUEN MUN,197,197
819309.75,830605.25,TUEN MUN,198,198
819309.187,829485.125,TUEN MUN,199,199
823369.875,829482.125,TUEN MUN,200,200
823371.812,829928.812,TUEN MUN,201,201
824211.25,829926.5,TUEN MUN,202,202
824205.625,829513.625,TUEN MUN,203,203
823970.812,829513.812,TUEN MUN,204,204
823962.812,828733.937,TUEN MUN,205,205
824832.375,828719.25,TUEN MUN,206,206
824846.677,828067.314,TUEN MUN,207,207
824833.125,828054.625,TUEN MUN,208,208
824832.375,828038.312,TUEN MUN,209,209
824834.5,828022.375,TUEN MUN,210,210
824857.5,827968.937,TUEN MUN,211,211
824865.875,827951.625,TUEN MUN,212,212
824870.687,827937.312,TUEN MUN,213,213
824865.5,827926.312,TUEN MUN,214,214
824857.562,827920.375,TUEN MUN,215,215
824838.312,827921.375,TUEN MUN,216,216
824824.315,827920.325,TUEN MUN,217,217
824804.791,827914.253,TUEN MUN,218,218
824775.503,827895.243,TUEN MUN,219,219
824763.366,827890.756,TUEN MUN,220,220
824726.692,827867.258,TUEN MUN,221,221
824715.873,827853.002,TUEN MUN,222,222
824710.596,827847.986,TUEN MUN,223,223
824706.812,827838.375,TUEN MUN,224,224
824704.375,827827.937,TUEN MUN,225,225
824704.687,827818,TUEN MUN,226,226
824707.375,827808.375,TUEN MUN,227,227
824714.875,827796.437,TUEN MUN,228,228
824721.25,827767.125,TUEN MUN,229,229
824728.5,827727.812,TUEN MUN,230,230
824736.687,827668.375,TUEN MUN,231,231
824741.5,827611.187,TUEN MUN,232,232
824743.375,827473.437,TUEN MUN,233,233
824745.812,827443.562,TUEN MUN,234,234
824746.062,827423.562,TUEN MUN,235,235
824744.375,827393.562,TUEN MUN,236,236
824741.937,827373.75,TUEN MUN,237,237
824736.187,827344.312,TUEN MUN,238,238
824733.75,827334.625,TUEN MUN,239,239
824712.855,827298.995,TUEN MUN,240,240
824589.437,827319.937,TUEN MUN,241,241
824462.937,827319.437,TUEN MUN,242,242
824356,827304.937,TUEN MUN,243,243
824318,827301.437,TUEN MUN,244,244
824278.062,827299.312,TUEN MUN,245,245
824238.062,827299.125,TUEN MUN,246,246
824219.75,827302.062,TUEN MUN,247,247
824210.062,827304.562,TUEN MUN,248,248
824191.187,827311.25,TUEN MUN,249,249
824173.375,827320.25,TUEN MUN,250,250
824146.562,827337.5,TUEN MUN,251,251
824137.312,827341.375,TUEN MUN,252,252
824127.687,827344.062,TUEN MUN,253,253
824117.812,827345.562,TUEN MUN,254,254
824100.375,827345.375,TUEN MUN,255,255
824080.437,827344,TUEN MUN,256,256
824060.25,827342.312,TUEN MUN,257,257
823791.146,827307.305,TUEN MUN,258,258
823776.897,827303.56,TUEN MUN,259,259
823767.798,827299.431,TUEN MUN,260,260
823759.345,827294.101,TUEN MUN,261,261
823751.696,827287.673,TUEN MUN,262,262
823744.993,827280.263,TUEN MUN,263,263
823736.979,827267.613,TUEN MUN,264,264
823734.585,827257.045,TUEN MUN,265,265
823728.753,827243.253,TUEN MUN,266,266
823723.349,827234.849,TUEN MUN,267,267
823716.846,827227.262,TUEN MUN,268,268
823709.368,827220.636,TUEN MUN,269,269
823701.054,827215.093,TUEN MUN,270,270
823692.06,827210.74,TUEN MUN,271,271
823682.555,827207.657,TUEN MUN,272,272
823677.811,827206.642,TUEN MUN,273,273
823659.23,827205.604,TUEN MUN,274,274
823535.57,827214.69,TUEN MUN,275,275
823521.25,827228.812,TUEN MUN,276,276
823510,827242.312,TUEN MUN,277,277
823474.937,827261.562,TUEN MUN,278,278
823436.187,827279.625,TUEN MUN,279,279
823427.437,827284.5,TUEN MUN,280,280
823411.187,827296.125,TUEN MUN,281,281
823403.75,827302.812,TUEN MUN,282,282
823393.875,827313.625,TUEN MUN,283,283
823393.187,827323.5,TUEN MUN,284,284
823403,827336,TUEN MUN,285,285
823409.812,827343.187,TUEN MUN,286,286
823412,827360.187,TUEN MUN,287,287
823409.75,827364.187,TUEN MUN,288,288
823401.562,827369.75,TUEN MUN,289,289
823383.062,827368.562,TUEN MUN,290,290
823363.75,827373.75,TUEN MUN,291,291
823353.937,827375.312,TUEN MUN,292,292
823343.937,827376.25,TUEN MUN,293,293
823324,827376.125,TUEN MUN,294,294
823314,827375,TUEN MUN,295,295
823294.5,827370.875,TUEN MUN,296,296
823277.375,827364.875,TUEN MUN,297,297
823259.062,827356.812,TUEN MUN,298,298
823239.625,827352.312,TUEN MUN,299,299
823219.687,827351.437,TUEN MUN,300,300
823199.875,827354.25,TUEN MUN,301,301
823180.937,827360.562,TUEN MUN,302,302
823171,827365.562,TUEN MUN,303,303
823154.812,827377.312,TUEN MUN,304,304
823116.062,827408.875,TUEN MUN,305,305
823072.562,827450.187,TUEN MUN,306,306
823064.125,827455.562,TUEN MUN,307,307
823054.875,827459.25,TUEN MUN,308,308
823045.062,827461.187,TUEN MUN,309,309
823035.062,827461.312,TUEN MUN,310,310
823025.25,827459.625,TUEN MUN,311,311
823015.875,827456.125,TUEN MUN,312,312
823007.312,827451,TUEN MUN,313,313
822999.875,827444.375,TUEN MUN,314,314
822918.687,827381,TUEN MUN,315,315
822855.062,827332.562,TUEN MUN,316,316
822815.312,827300.812,TUEN MUN,317,317
822807.937,827294.062,TUEN MUN,318,318
822801.312,827286.562,TUEN MUN,319,319
822795.687,827278.312,TUEN MUN,320,320
822790.937,827269.5,TUEN MUN,321,321
822787.25,827260.187,TUEN MUN,322,322
822784.687,827250.562,TUEN MUN,323,323
822783.187,827240.687,TUEN MUN,324,324
822782.812,827230.687,TUEN MUN,325,325
822783.562,827220.687,TUEN MUN,326,326
822785.437,827210.875,TUEN MUN,327,327
822802.312,827166.812,TUEN MUN,328,328
822823.5,827121.5,TUEN MUN,329,329
822837.687,827095.062,TUEN MUN,330,330
822847.797,827078.801,TUEN MUN,331,331
822860.591,827069.075,TUEN MUN,332,332
822866.99,827059.348,TUEN MUN,333,333
822879.525,827046.553,TUEN MUN,334,334
822882.854,827031.469,TUEN MUN,335,335
822893.361,826998.961,TUEN MUN,336,336
822899.498,826992.771,TUEN MUN,337,337
822904.596,826983.096,TUEN MUN,338,338
822916.403,826971.809,TUEN MUN,339,339
822923.439,826948.219,TUEN MUN,340,340
822927.118,826916.987,TUEN MUN,341,341
822927.67,826871.612,TUEN MUN,342,342
822932.267,826867.886,TUEN MUN,343,343
822943.918,826847.497,TUEN MUN,344,344
822946.571,826839.695,TUEN MUN,345,345
822951.466,826830.04,TUEN MUN,346,346
822949.978,826817.461,TUEN MUN,347,347
822944.641,826805.101,TUEN MUN,348,348
822927.653,826782.835,TUEN MUN,349,349
822896.451,826771.702,TUEN MUN,350,350
822883.327,826766.202,TUEN MUN,351,351
822876.466,826759.074,TUEN MUN,352,352
822866.441,826745.081,TUEN MUN,353,353
822859.523,826737.266,TUEN MUN,354,354
822841.375,826725.28,TUEN MUN,355,355
822810.669,826711.42,TUEN MUN,356,356
822799.291,826707.988,TUEN MUN,357,357
822775.413,826703.631,TUEN MUN,358,358
822714.2,826704.424,TUEN MUN,359,359
822699.887,826706.601,TUEN MUN,360,360
822694.873,826711.091,TUEN MUN,361,361
822687.75,826729.175,TUEN MUN,362,362
822679.703,826738.152,TUEN MUN,363,363
822650.02,826755.576,TUEN MUN,364,364
822616.446,826764.355,TUEN MUN,365,365
822602.33,826765.278,TUEN MUN,366,366
822570.932,826770.164,TUEN MUN,367,367
822558.596,826776.829,TUEN MUN,368,368
822510.577,826829.103,TUEN MUN,369,369
822498.176,826833.855,TUEN MUN,370,370
822483.268,826835.966,TUEN MUN,371,371
822466.153,826832.304,TUEN MUN,372,372
822453.883,826826.891,TUEN MUN,373,373
822444.913,826821.083,TUEN MUN,374,374
822439.503,826814.219,TUEN MUN,375,375
822434.096,826803.923,TUEN MUN,376,376
822429.28,826798.445,TUEN MUN,377,377
822413.449,826797.125,TUEN MUN,378,378
822359.888,826811.117,TUEN MUN,379,379
822333.636,826814.418,TUEN MUN,380,380
822298.005,826810.365,TUEN MUN,381,381
822277.701,826811.513,TUEN MUN,382,382
822256.33,826816.002,TUEN MUN,383,383
822246.304,826821.81,TUEN MUN,384,384
822237.333,826829.993,TUEN MUN,385,385
822234.556,826839.651,TUEN MUN,386,386
822233.562,826852.142,TUEN MUN,387,387
822230.903,826866.898,TUEN MUN,388,388
822224.034,826876.403,TUEN MUN,389,389
822219.973,826879.316,TUEN MUN,390,390
822211.008,826883.703,TUEN MUN,391,391
822197.559,826886.425,TUEN MUN,392,392
822173.36,826887.206,TUEN MUN,393,393
822125.846,826884.121,TUEN MUN,394,394
822076.075,826894.447,TUEN MUN,395,395
822055.1,826893.047,TUEN MUN,396,396
822040.65,826886.981,TUEN MUN,397,397
822023.415,826873.631,TUEN MUN,398,398
822001.201,826845.247,TUEN MUN,399,399
821990.711,826837.225,TUEN MUN,400,400
821951.219,826829.82,TUEN MUN,401,401
821941.963,826825.501,TUEN MUN,402,402
821898.152,826793.414,TUEN MUN,403,403
821867.299,826789.711,TUEN MUN,404,404
821835.212,826780.455,TUEN MUN,405,405
821824.721,826781.69,TUEN MUN,406,406
821800.04,826800.818,TUEN MUN,407,407
821789.55,826817.479,TUEN MUN,408,408
821779.06,826826.735,TUEN MUN,409,409
821706.207,826832.199,TUEN MUN,410,410
821700.518,826830.751,TUEN MUN,411,411
821713.711,826814.251,TUEN MUN,412,412
821742.666,826786.596,TUEN MUN,413,413
821747.283,826780.393,TUEN MUN,414,414
821750.317,826771.681,TUEN MUN,415,415
821752.478,826761.125,TUEN MUN,416,416
821754.992,826756.807,TUEN MUN,417,417
821755.263,826754.983,TUEN MUN,418,418
821761.728,826750.231,TUEN MUN,419,419
821776.767,826741.915,TUEN MUN,420,420
821784.285,826735.603,TUEN MUN,421,421
821787.255,826708.981,TUEN MUN,422,422
821791.476,826700.797,TUEN MUN,423,423
821801.107,826685.881,TUEN MUN,424,424
821805.328,826675.849,TUEN MUN,425,425
821802.814,826660.215,TUEN MUN,426,426
821804.052,826645.322,TUEN MUN,427,427
821804.866,826643.311,TUEN MUN,428,428
821816.606,826631.695,TUEN MUN,429,429
821824.193,826621.861,TUEN MUN,430,430
821826.303,826614.205,TUEN MUN,431,431
821824.984,826606.285,TUEN MUN,432,432
821819.312,826597.309,TUEN MUN,433,433
821803.086,826589.653,TUEN MUN,434,434
821798.733,826585.297,TUEN MUN,435,435
821776.637,826535.599,TUEN MUN,436,436
821770.04,826529.395,TUEN MUN,437,437
821761.729,826523.719,TUEN MUN,438,438
821748.601,826520.617,TUEN MUN,439,439
821643.778,826525.812,TUEN MUN,440,440
821600.721,826521.013,TUEN MUN,441,441
821540.172,826492.633,TUEN MUN,442,442
821526.585,826490.388,TUEN MUN,443,443
821507.984,826494.613,TUEN MUN,444,444
821498.817,826500.355,TUEN MUN,445,445
821494.596,826507.483,TUEN MUN,446,446
821494.86,826516.459,TUEN MUN,447,447
821498.903,826530.267,TUEN MUN,448,448
821514.053,826550.581,TUEN MUN,449,449
821518.67,826557.973,TUEN MUN,450,450
821520.309,826563.976,TUEN MUN,451,451
821515.768,826575.925,TUEN MUN,452,452
821508.117,826580.941,TUEN MUN,453,453
821499.278,826581.469,TUEN MUN,454,454
821479.688,826596.979,TUEN MUN,455,455
821473.356,826600.939,TUEN MUN,456,456
821467.816,826599.618,TUEN MUN,457,457
821452.162,826590.521,TUEN MUN,458,458
821438.003,826584.307,TUEN MUN,459,459
821429.296,826586.947,TUEN MUN,460,460
821410.828,826610.707,TUEN MUN,461,461
821403.861,826615.832,TUEN MUN,462,462
821398.691,826617.835,TUEN MUN,463,463
821390.248,826617.307,TUEN MUN,464,464
821381.013,826610.971,TUEN MUN,465,465
821378.376,826601.731,TUEN MUN,466,466
821385.498,826571.108,TUEN MUN,467,467
821381.278,826561.604,TUEN MUN,468,468
821376.221,826556.09,TUEN MUN,469,469
821370.528,826536.941,TUEN MUN,470,470
821347.966,826510.846,TUEN MUN,471,471
821352.452,826491.444,TUEN MUN,472,472
821353.31,826483.061,TUEN MUN,473,473
821352.387,826477.648,TUEN MUN,474,474
821349.484,826471.709,TUEN MUN,475,475
821338.931,826461.148,TUEN MUN,476,476
821313.603,826413.277,TUEN MUN,477,477
821306.546,826405.907,TUEN MUN,478,478
821302.192,826397.327,TUEN MUN,479,479
821299.818,826385.976,TUEN MUN,480,480
821298.293,826370.486,TUEN MUN,481,481
821295.025,826358.875,TUEN MUN,482,482
821272.174,826336.959,TUEN MUN,483,483
821263.343,826323.212,TUEN MUN,484,484
821259.055,826298.594,TUEN MUN,485,485
821237.949,826275.89,TUEN MUN,486,486
821229.506,826246.323,TUEN MUN,487,487
821210.51,826224.147,TUEN MUN,488,488
821204.858,826204.03,TUEN MUN,489,489
821191.751,826182.338,TUEN MUN,490,490
821550.496,826179.258,TUEN MUN,491,491
821614.986,825727.595,TUEN MUN,492,492
821702.94,825653.806,TUEN MUN,493,493
821711.845,825649.255,TUEN MUN,494,494
821757.245,825628.331,TUEN MUN,495,495
821803.959,825610.53,TUEN MUN,496,496
821851.771,825595.932,TUEN MUN,497,497
821880.893,825588.74,TUEN MUN,498,498
821901.729,825584.636,TUEN MUN,499,499
821921.628,825582.72,TUEN MUN,500,500
821931.625,825582.523,TUEN MUN,501,501
821941.62,825582.834,TUEN MUN,502,502
821961.496,825584.979,TUEN MUN,503,503
822179.863,825634.353,TUEN MUN,504,504
822189.738,825634.68,TUEN MUN,505,505
822195.302,825633.434,TUEN MUN,506,506
822198.378,825629.891,TUEN MUN,507,507
822201.091,825622.822,TUEN MUN,508,508
822203.81,825548.008,TUEN MUN,509,509
822204.011,825474.736,TUEN MUN,510,510
822203.204,825464.773,TUEN MUN,511,511
822201.356,825454.95,TUEN MUN,512,512
822198.487,825445.375,TUEN MUN,513,513
822194.628,825436.155,TUEN MUN,514,514
822189.824,825427.39,TUEN MUN,515,515
822184.125,825419.178,TUEN MUN,516,516
822177.596,825411.61,TUEN MUN,517,517
822170.308,825404.768,TUEN MUN,518,518
822162.343,825398.731,TUEN MUN,519,519
822153.788,825393.562,TUEN MUN,520,520
822138.32,825386.979,TUEN MUN,521,521
821947.104,825320.846,TUEN MUN,522,522
821889.178,825305.245,TUEN MUN,523,523
821818.906,825290.708,TUEN MUN,524,524
821780.572,825279.329,TUEN MUN,525,525
821752.568,825268.585,TUEN MUN,526,526
821725.343,825255.997,TUEN MUN,527,527
821699.017,825241.622,TUEN MUN,528,528
821656.266,825214.981,TUEN MUN,529,529
821637.137,825176.723,TUEN MUN,530,530
821626.647,825146.488,TUEN MUN,531,531
821606.975,825117.373,TUEN MUN,532,532
821636.981,825091.143,TUEN MUN,533,533
821643.738,825075.923,TUEN MUN,534,534
821645.159,825070.589,TUEN MUN,535,535
821650.095,825058.865,TUEN MUN,536,536
821653.523,825046.311,TUEN MUN,537,537
821653.523,825026.513,TUEN MUN,538,538
821649.125,825001.218,TUEN MUN,539,539
821626.041,824980.322,TUEN MUN,540,540
821592.626,824911.062,TUEN MUN,541,541
821584.595,824892.046,TUEN MUN,542,542
821564.941,824856.471,TUEN MUN,543,543
821552.607,824842.113,TUEN MUN,544,544
821543.4,824832.439,TUEN MUN,545,545
821535.182,824826.093,TUEN MUN,546,546
821519.682,824816.419,TUEN MUN,547,547
821505.482,824809.345,TUEN MUN,548,548
821474.27,824801.667,TUEN MUN,549,549
821463.189,824798.013,TUEN MUN,550,550
821454.243,824797.753,TUEN MUN,551,551
821411.294,824799.701,TUEN MUN,552,552
821365.01,824795.464,TUEN MUN,553,553
821336.63,824789.211,TUEN MUN,554,554
821300.223,824773.785,TUEN MUN,555,555
821279.861,824756.507,TUEN MUN,556,556
821247.157,824718.867,TUEN MUN,557,557
821223.708,824684.311,TUEN MUN,558,558
821213.686,824661.366,TUEN MUN,559,559
821207.665,824649.756,TUEN MUN,560,560
821191.621,824629.393,TUEN MUN,561,561
821176.242,824617.482,TUEN MUN,562,562
